"","AAPL","MSFT","YHOO"
"291",18.56,27.93,28.15
"292",17.86,27.2,27.78
"293",17.39,26.99,27.77
"294",17.8,27.59,28.06
"295",17.78,28.12,28.67
"296",17.28,27.57,28.7
"297",17.46,27.87,29.03
"298",17.1,28.05,28.51
"299",18.19,29.28,29
"300",18,28.63,28.45
"301",18.28,28.62,27.5
"302",18.09,27.96,26.71
"303",18.1,28.3,25.85
"304",18.97,29.42,27.66
"305",18.52,28.62,27.07
"306",19.04,29.18,27.66
"307",19.93,29.17,27.52
"308",20.14,29.14,28.73
"309",20.72,28.56,28.49
"310",20.04,28.05,28.09
"311",20.43,27.91,28.99
"312",20.5,28.38,28.93
"313",21.36,29.5,28.5
"314",21.07,29.16,27.82
"315",21.66,29,28.13
"316",21.87,29.16,28.36
"317",22.27,29.16,27.7
"318",21.83,28.75,27.7
"319",21.63,28.89,27.77
"320",22.08,29.11,28.59
"321",21.02,28.28,28.34
"322",21.11,28.06,27.8
"323",21.2,28.25,28.17
"324",21.96,28.95,28.31
"325",22.07,29.22,28.03
"326",23.01,30,28.43
"327",24.02,30.42,28.55
"328",22.89,30.25,28.54
"329",23.27,31.45,28.08
"330",24.13,31.8,27.3
"331",24.25,29.83,26.8
"332",24.61,28.99,26.43
"333",25.01,28.64,27.36
"334",24.85,28.52,27.41
"335",25.71,29.4,26.81
"336",25.85,29.24,28.67
"337",26.39,29.08,24.37
"338",26.67,29.7,25.72
"339",26.08,29.21,25.64
"340",26.44,29.27,26.22
"341",26.21,29.39,25.93
"342",26.88,29.99,25.26
"343",27.14,29.78,26.56
"344",26.61,29.93,27.14
"345",27.1,30.45,27.75
"346",26.8,29.99,27.66
"347",26.23,29.46,27.68
"348",26.56,28.76,27.48
"349",25.46,28.25,27.33
"350",25.29,28.47,27.53
"351",25.88,28.05,27.72
"352",26.63,28.44,27
"353",26.72,28.18,27.16
"354",26.67,28.31,27.07
"355",26.96,28.32,26.76
"356",26.59,27.8,26.4
"357",26.48,27.31,26.15
"358",26.46,27.54,26.85
"359",27.06,28.3,26.36
"360",26.52,27.49,26.44
"361",25.94,27.71,26.58
"362",26.52,27.89,26.4
"363",25.83,27.12,26.15
"364",24.75,28.24,23.52
"365",24.62,29.07,23.47
"366",25.26,28.93,23.54
"367",25.92,28.8,23.25
"368",25.54,28.46,22.91
"369",25.84,28.93,22.73
"370",25.04,28.23,21.99
"371",24.74,27.97,21.45
"372",24.75,27.73,22.04
"373",25.34,28.35,22.01
"374",24.04,27.75,21.37
"375",24.3,27.63,21.33
"376",23.92,27.51,20.66
"377",24.95,26.87,20.2
"378",24.03,25.88,20.88
"379",24.3,25.98,21.35
"380",25.02,26.03,23.91
"381",25.65,25.85,24.64
"382",24.89,25.23,23.82
"383",25.23,25.45,23.5
"384",24.65,25.25,23.57
"385",24.84,25.15,22.57
"386",24.23,26.15,21.54
"387",24.69,27.26,22.48
"388",24.54,27.52,22.44
"389",23.59,25.86,22.45
"390",23.76,25.64,21.67
"391",23.15,25.8,21.4
"392",23.75,26.43,20.39
"393",22.72,25.44,20.53
"394",23.16,26.16,21.13
"395",22.06,25.5,20.12
"396",22.44,26.11,20.15
"397",22.84,26.23,20.03
"398",22.71,25.72,19.89
"399",22.38,25.44,19.8
"400",21.89,25.28,19.38
"401",22.95,26.21,19.82
"402",23.46,27.02,20
"403",23.37,27.39,20.19
"404",24.22,28.13,19.9
"405",24.79,27.9,20.26
"406",25.25,28.12,20.43
"407",25.61,27.91,20.36
"408",25.62,27.91,20.28
"409",25.11,27.81,20.44
"410",25.06,27.69,19.73
"411",24.79,27.32,19.42
"412",25.12,27.29,19.17
"413",24.9,27.18,19.11
"414",25.26,27.84,19.53
"415",24.65,27.66,19.09
"416",24.81,27.27,19.09
"417",24.95,27.56,19.37
"418",24.82,27.94,19.65
"419",24.22,27.29,19.38
"420",23.74,27.1,18.75
"421",23.85,26.9,18.76
"422",23.03,26.35,17.75
"423",22.88,25.65,18.08
"424",22.56,26.12,18.26
"425",21.67,26.1,17.58
"426",21.66,26.44,17.7
"427",21.81,27.34,18.55
"428",21.28,27.62,19.08
"429",20.05,26.82,18.85
"430",19.98,25.99,19.26
"431",18.26,24.57,18.82
"432",19.16,25.26,20.82
"433",20.13,25.16,19.89
"434",18.72,25.4,18.68
"435",18.12,25.44,18.93
"436",18.39,25.72,19.15
"437",18.85,26.61,19.2
"438",18.32,27.4,18.92
"439",15.04,25.01,16.88
"440",16.24,26.69,17.3
"441",15.59,26.48,16.96
"442",14.3,26.25,15.58
"443",13.87,26.32,16
"444",14.02,24.91,15.31
"445",12.74,23.23,14.58
"446",12.83,23.01,13.76
"447",12.68,22.3,12.65
"448",13.8,21.5,12.29
"449",15.75,25.5,13.49
"450",14.87,24.1,12.65
"451",13.99,22.66,11.75
"452",14.56,24.19,12.99
"453",13.91,23.93,12.9
"454",14.06,24.72,12.86
"455",13.07,23.36,12.07
"456",13.84,21.53,12.39
"457",14.03,22.32,12.65
"458",13.77,21.96,12.1
"459",13.16,21.18,11.58
"460",14.27,23.1,12.36
"461",14.94,23,12.14
"462",15.86,22.63,12.93
"463",15.37,22.33,12.82
"464",15.28,22.62,12.75
"465",15.86,23.53,13.35
"466",14.76,22.08,13.92
"467",14.16,20.88,13.96
"468",14.03,21.5,12.2
"469",13.7,21.3,11.87
"470",13.54,21.2,11.35
"471",12.87,20.3,10.34
"472",13.78,21.25,11.15
"473",12.89,20.06,10.82
"474",12.59,19.32,10.63
"475",12.84,19.62,11.55
"476",12.33,18.29,9.14
"477",11.5,17.53,8.95
"478",11.8,19.68,9.39
"479",13.28,20.69,10.21
"480",12.97,19.99,10.07
"481",13.57,20.49,10.58
"482",13.24,20.22,11.51
"483",12.7,18.61,10.74
"484",13.21,19.15,11.5
"485",13.7,19.87,11.5
"486",13.06,19.11,11.05
"487",13.43,19.87,11.66
"488",14.25,21.01,12.2
"489",14.29,20.6,12.19
"490",14.03,20.61,13.4
"491",13.57,19.45,12.73
"492",14.04,19.36,13.15
"493",13.54,19.04,12.73
"494",13.63,20.11,13.36
"495",12.74,19.66,13.11
"496",12.78,19.3,12.72
"497",12.86,19.12,13.03
"498",12.25,19.18,12.35
"499",12.34,19.28,12.42
"500",12.15,19.17,12.32
"501",12.26,19.13,12.34
"502",12.37,18.96,11.88
"503",12.33,19.34,11.97
"504",12.19,19.44,12.2
"505",12.96,20.33,12.85
"506",13.51,20.52,12.86
"507",13.29,20.76,13
"508",13,19.51,12.71
"509",13.24,20.12,13.07
"510",12.94,19.52,13.13
"511",12.67,19.47,12.22
"512",12.53,19.82,12.1
"513",12.19,19.09,12.41
"514",11.91,19.24,11.61
"515",11.76,19.71,11.59
"516",11.17,18.48,11.01
"517",11.83,19.38,11.59
"518",12.62,17.11,11.28
"519",12.62,17.2,11.32
"520",12.81,17.63,11.17
"521",12.96,17.66,11.34
"522",13.46,18.04,12.24
"523",13.29,17.59,11.74
"524",12.88,17.1,11.73
"525",13.07,17.83,12.15
"526",13.28,18.5,12.68
"527",13.36,18.63,13
"528",13.78,19.04,13.51
"529",14.25,19.66,13.63
"530",14.64,19.44,13.9
"531",13.98,18.8,12.75
"532",13.83,19.21,12.63
"533",14.18,19.26,12.66
"534",14.17,19.09,12.84
"535",13.5,18.09,12.02
"536",13.48,18.12,12.22
"537",12.95,17.91,11.98
"538",13,18,12.14
"539",12.42,17.21,11.97
"540",12.89,17.17,12.75
"541",13.02,16.96,12.48
"542",12.74,16.42,12.98
"543",12.76,16.15,13.23
"544",12.56,15.79,12.58
"545",12.62,15.88,12.5
"546",13.02,16.12,13.16
"547",12.69,15.27,12.53
"548",12.19,15.28,13.05
"549",11.87,15.15,12.66
"550",12.66,16.48,13.23
"551",13.24,17.11,13.39
"552",13.76,17.01,13.6
"553",13.7,16.65,13.51
"554",13.63,16.25,13.22
"555",14.24,16.9,13.99
"556",14.5,16.96,13.42
"557",14.52,17.14,13.74
"558",14.51,17.06,13.6
"559",15.38,18.33,14.09
"560",15.21,17.93,13.61
"561",15.21,17.88,13.55
"562",15.7,18.83,13.35
"563",15.26,18.13,13.18
"564",14.93,17.48,12.7
"565",15.02,18.37,12.81
"566",15.53,19.31,12.75
"567",16.1,19.29,12.95
"568",16.57,18.75,13.34
"569",16.92,18.76,13.23
"570",16.43,18.76,12.81
"571",16.62,19.19,12.92
"572",17.08,19.67,13.47
"573",17.17,19.59,14.42
"574",16.9,19.35,14.07
"575",16.81,18.83,14.02
"576",17.35,19.76,14.43
"577",17.63,19.2,14.39
"578",17.21,18.61,13.66
"579",17.39,18.97,14.38
"580",17.36,18.78,14.48
"581",17.91,18.92,14.55
"582",17.7,20.91,14.73
"583",17.82,20.4,13.89
"584",17.7,19.93,13.64
"585",17.88,20.25,14.02
"586",17.98,20.26,14.29
"587",18.18,20.24,14.14
"588",18.87,20.19,14.18
"589",18.96,19.79,14.74
"590",18.93,19.79,14.85
"591",18.44,19.32,14.8
"592",18.46,19.42,15.15
"593",18.51,19.32,15.54
"594",17.77,19.89,15.1
